ticker,strategy,timeframe,entry_time,exit_time,TimeInDays,AvgTimeInMarketHours,StdTimeInMarket,NoOfTrades,RatioNegative,TotalProfit%,AvgProfitPerTrade%,ProfitPositive%,ProfitNegative%,ratio,MinCumulative%,MaxCumulative%,runup%,drawdown%,MinPrice,MaxPrice,var,TradesPerDay,AdjustedProfit%,APPD
BINANCE:BNBUSDT.P,Strategy v1,1m,2023-09-26 01:57:00,2023-10-08 10:52:00,12.371527777777779,3.738703703703704,1.1729125249362222,3,0%,17.057599999999944,5.685866666666648,17.057599999999944,0.0,100.0,1.77%,8.13%,3.1,2.9,211.63,218.79,0.0%,0.2,170.57599999999945,13.787787819253394
BINANCE:BNBUSDT.P,Strategy v10,1m,2023-09-26 06:00:00,2023-10-04 08:04:00,8.08611111111111,0.14444444444444446,0.08605486514320276,5,60%,1.3559999999999852,0.27119999999999705,4.418399999999987,-3.062400000000002,1.4,-0.53%,1.97%,1.4,0.4,211.65,214.47,0.0%,0.6,13.559999999999853,1.676949501889367
BINANCE:BNBUSDT.P,Strategy v15,1m,2023-09-26 01:54:00,2023-10-09 16:03:00,13.589583333333334,0.9850396825396825,0.5158753255951549,7,29%,21.844399999999993,3.1206285714285706,27.505999999999993,-5.661599999999996,4.9,-2.85%,8.24%,2.3,1.0,211.75,216.27,0.0%,0.5,218.44399999999993,16.074370688333584
BINANCE:BNBUSDT.P,Strategy v16,1m,2023-10-01 17:56:00,2023-10-06 19:31:00,5.065972222222222,2.026388888888889,,1,0%,0.5292000000000011,0.5292000000000011,0.5292000000000011,0.0,100.0,0.53%,0.53%,3.9,1.5,213.46,213.46,0.0%,0.2,5.292000000000011,1.0446168608636075
BINANCE:BNBUSDT.P,Strategy v19,1m,2023-09-25 01:45:00,2023-10-12 10:44:00,17.374305555555555,0.12321684587813621,0.1260774606291559,62,58%,-26.319599999999763,-0.42450967741935103,29.009200000000018,-55.32879999999976,0.5,-0.30%,9.77%,0.5,0.9,204.6,218.59,0.1%,3.6,-263.19599999999764,-15.148576681721757
BINANCE:BNBUSDT.P,Strategy v2.1,1m,2023-09-25 06:33:00,2023-10-12 02:53:00,16.84722222222222,0.1873261858349576,0.17311570106267798,171,34%,34.45320000000082,0.20148070175439076,105.79960000000067,-71.34639999999968,1.5,-0.14%,9.92%,0.5,0.9,204.97,218.99,0.1%,10.2,344.5320000000082,20.450374278648468
BINANCE:BNBUSDT.P,Strategy v9.1,1m,2023-09-27 06:25:00,2023-10-10 22:36:00,13.674305555555556,0.29539682539682544,0.3911207957187737,28,43%,5.967600000000186,0.21312857142857805,35.28720000000005,-29.319599999999856,1.2,-0.62%,9.54%,0.9,1.3,202.87,218.52,0.1%,2.0,59.67600000000186,4.364097303336686
BINANCE:BNBUSDT.P,[CP] ChannelBreakOutStrategy,1m,2023-09-25 00:00:00,2023-10-12 15:06:00,17.629166666666666,0.0025745405865887873,0.0019058556074974461,2739,58%,60.20880000000305,0.02198203723986968,235.9688000000023,-175.75999999999777,1.3,-0.09%,9.98%,0.1,0.0,203.79,221.11,0.1%,155.4,602.0880000000305,34.15294729378571
BINANCE:BNBUSDT.P,[CP] Keltner Channels Strategy,1m,2023-09-25 00:22:00,2023-10-12 14:35:00,17.59236111111111,0.01644145898234683,0.013927358060362787,428,68%,-3.312399999999892,-0.007739252336448345,72.84959999999991,-76.16199999999952,1.0,-0.00%,2.66%,0.3,0.1,204.99,220.19,0.1%,24.3,-33.123999999998915,-1.8828626692455863
BINANCE:BNBUSDT.P,[CP] Momentum Strategy,1m,2023-09-25 00:20:00,2023-10-12 15:05:00,17.614583333333332,0.003973961270915597,0.003396706413058914,1773,64%,26.161599999998362,0.014755555555554632,170.18040000000119,-144.01879999999838,1.2,-0.17%,9.93%,0.1,0.1,203.98,221.08,0.1%,100.7,261.6159999999836,14.852238911885529
BINANCE:BTCUSDT.P,Strategy Mix v1.2,1m,2023-09-25 05:27:00,2023-10-01 22:18:00,6.702083333333333,2.680833333333333,,1,0%,1791.8992000000014,1791.8992000000014,1791.8992000000014,0.0,100.0,1791.90%,1791.90%,8.7,0.5,26106.5,26106.5,0.0%,0.1,17918.992000000013,2673.645060615482
BINANCE:BTCUSDT.P,Strategy v1,1m,2023-09-27 09:57:00,2023-10-09 09:54:00,11.997916666666669,4.156527777777778,0.8550855039911519,4,75%,-2453.4031999999943,-613.3507999999986,276.2992000000029,-2729.7023999999974,0.1,-1175.40%,-2729.70%,1.6,6.4,26348.7,27800.4,0.1%,0.3,-24534.03199999994,-2044.857676679974
