ticker,strategy,timeframe,entry_time,exit_time,TimeInDays,AvgTimeInMarketHours,StdTimeInMarket,NoOfTrades,RatioNegative,TotalProfit%,AvgProfitPerTrade%,ProfitPositive%,ProfitNegative%,ratio,MinCumulative%,MaxCumulative%,runup%,drawdown%,MinPrice,MaxPrice,var,TradesPerDay,AdjustedProfit%,APPD
BINANCE:BTCUSDT.P,Strategy v10,1m,2023-09-25 11:00:00,2023-10-11 09:54:00,15.954166666666667,0.14708333333333334,0.11055719568855986,6,50%,855.7951999999955,142.6325333333326,1326.0975999999948,-470.30239999999924,2.8,-174.30%,936.10%,2.0,0.4,26081.3,27725.1,0.1%,0.4,8557.951999999954,536.4085870984562
BINANCE:BTCUSDT.P,Strategy v15,1m,2023-09-27 09:41:00,2023-10-09 09:55:00,12.009722222222223,1.6638888888888888,0.6088248268205612,3,67%,-1315.8023999999957,-438.60079999999857,623.7992000000029,-1939.6015999999986,0.3,-1091.30%,-1939.60%,1.4,5.5,26322.2,28150.4,0.1%,0.2,-13158.023999999958,-1095.614349485367
BINANCE:BTCUSDT.P,Strategy v16,1m,2023-09-25 01:50:00,2023-10-06 21:38:00,11.825000000000001,0.9278703703703705,0.9099156056827581,6,67%,-1406.0048000000002,-234.33413333333337,705.4984,-2111.5032,0.3,-1123.80%,53.70%,1.9,2.1,26211.8,27550.3,0.1%,0.5,-14060.048000000003,-1189.010401691332
BINANCE:BTCUSDT.P,Strategy v19,1m,2023-09-25 00:46:00,2023-10-11 22:28:00,16.904166666666665,0.07811926605504589,0.08963323755163402,109,27%,2798.712799999981,25.676264220183313,6537.235999999988,-3738.523199999994,1.7,-151.51%,997.58%,0.4,0.5,26028.8,28299.1,0.1%,6.4,27987.12799999981,1655.6348829184017
BINANCE:BTCUSDT.P,Strategy v2.1,1m,2023-09-25 15:19:00,2023-10-12 02:38:00,16.471527777777776,0.16189838802533105,0.2043662520999688,193,23%,5454.445600000028,28.261376165803256,18428.180800000013,-12973.7352,1.4,-1028.14%,979.67%,0.6,0.8,26151.9,27996.8,0.1%,11.7,54544.45600000028,3311.4387891563897
BINANCE:BTCUSDT.P,Strategy v9.1,1m,2023-09-25 00:39:00,2023-10-12 11:54:00,17.46875,0.2720277777777778,0.18354565306265083,30,40%,392.7760000000061,13.092533333333536,1796.5855999999947,-1403.8095999999884,1.3,1021.68%,980.99%,0.7,1.0,26064.1,27912.1,0.1%,1.7,3927.760000000061,224.8449373881967
BINANCE:BTCUSDT.P,[CP] ChannelBreakOutStrategy,1m,2023-09-25 00:00:00,2023-10-12 14:25:00,17.600694444444443,0.002439458689458699,0.0018387908302724117,2886,56%,12668.991200001266,4.38980984061028,33426.98159999937,-20757.990399999857,1.6,-10.90%,992.29%,0.1,0.0,26035.1,28403.1,0.1%,164.0,126689.91200001267,7198.006442297032
BINANCE:BTCUSDT.P,[CP] Keltner Channels Strategy,1m,2023-09-25 00:57:00,2023-10-12 14:06:00,17.547916666666666,0.015127514367816095,0.013781461317159975,464,70%,-1399.471199999772,-3.0161017241374393,9638.888800000084,-11038.359999999777,0.9,-1001.47%,90.34%,0.3,0.1,26013.6,28382.0,0.1%,26.4,-13994.711999997719,-797.5141588506358
BINANCE:BTCUSDT.P,[CP] Momentum Strategy,1m,2023-09-25 00:18:00,2023-10-12 14:16:00,17.581944444444446,0.0037368638564175293,0.003308804566415897,1882,58%,8541.994400001011,4.538785547290654,25364.572799999856,-16822.578399999464,1.5,-27.90%,956.71%,0.1,0.0,26042.3,28407.6,0.1%,107.0,85419.94400001012,4858.390052927347
BINANCE:ETHUSDT.P,Strategy Mix v1.1,1m,2023-09-25 06:11:00,2023-10-01 22:18:00,6.6715277777777775,2.6686111111111113,,1,0%,162.56920000000017,162.56920000000017,162.56920000000017,0.0,100.0,162.57%,162.57%,13.2,0.6,1572.58,1572.58,0.0%,0.1,1625.6920000000016,243.67611949620093
BINANCE:ETHUSDT.P,Strategy Mix v1.2,1m,2023-09-25 06:11:00,2023-10-01 22:18:00,6.6715277777777775,2.6686111111111113,,1,0%,162.56920000000017,162.56920000000017,162.56920000000017,0.0,100.0,162.57%,162.57%,13.2,0.6,1572.58,1572.58,0.0%,0.1,1625.6920000000016,243.67611949620093
BINANCE:ETHUSDT.P,Strategy Mix v2.1,1m,2023-09-26 21:22:00,2023-09-29 07:55:00,2.439583333333333,0.9758333333333333,,1,0%,100.75919999999999,100.75919999999999,100.75919999999999,0.0,100.0,100.76%,100.76%,6.4,0.2,1585.89,1585.89,0.0%,0.4,1007.5919999999999,413.0180700256191
BINANCE:ETHUSDT.P,Strategy v1,1m,2023-09-27 09:57:00,2023-10-10 03:01:00,12.71111111111111,3.723703703703704,1.7859420057036075,6,17%,157.70519999999934,26.28419999999989,165.99599999999953,-8.290800000000191,20.0,15.38%,83.74%,2.5,8.3,1595.38,1677.64,0.1%,0.5,1577.0519999999933,124.0687762237757
BINANCE:ETHUSDT.P,Strategy v10,1m,2023-09-28 14:00:00,2023-10-11 00:02:00,12.418055555555556,0.1599537037037037,0.05272114407827101,6,33%,82.48520000000025,13.747533333333374,95.11680000000013,-12.631599999999882,7.5,18.87%,84.33%,2.5,0.3,1566.53,1685.17,0.1%,0.5,824.8520000000025,66.42360362375592
BINANCE:ETHUSDT.P,Strategy v15,1m,2023-09-28 10:48:00,2023-10-11 02:35:00,12.657638888888888,0.7646759259259259,0.5957029634554954,12,58%,24.700399999999828,2.0583666666666525,148.41599999999985,-123.71560000000002,1.2,-13.73%,24.70%,1.4,3.4,1582.99,1728.48,0.1%,0.9,247.00399999999829,19.51422395347548
BINANCE:ETHUSDT.P,Strategy v19,1m,2023-09-25 01:45:00,2023-10-11 18:18:00,16.689583333333335,0.06621101364522416,0.06961801442808165,114,39%,203.94880000000038,1.789024561403512,442.6639999999998,-238.71520000000046,1.9,-0.98%,99.11%,0.5,0.5,1552.64,1729.19,0.1%,6.8,2039.4880000000037,122.20125327674468
BINANCE:ETHUSDT.P,Strategy v2.1,1m,2023-09-25 07:51:00,2023-10-12 08:28:00,17.025694444444444,0.18935185185185197,0.24310246133589952,168,29%,508.9955999999961,3.029735714285691,1092.9439999999952,-583.9484000000009,1.9,-1.42%,82.19%,0.7,0.9,1557.33,1768.49,0.1%,9.9,5089.955999999961,298.95732104253966
BINANCE:ETHUSDT.P,Strategy v9.1,1m,2023-09-26 15:30:00,2023-10-11 19:01:00,15.146527777777777,0.19595410628019325,0.14799771517120178,23,35%,-28.88840000000033,-1.2560173913043622,113.51799999999953,-142.40639999999988,0.8,-0.37%,7.47%,0.6,1.2,1555.38,1683.11,0.1%,1.5,-288.8840000000033,-19.072622071432065
BINANCE:ETHUSDT.P,[CP] ChannelBreakOutStrategy,1m,2023-09-25 00:00:00,2023-10-12 14:52:00,17.619444444444444,0.002438677431757028,0.001814062585645265,2890,58%,638.8779999999655,0.22106505190310224,2098.2539999999785,-1459.376000000022,1.4,0.42%,99.87%,0.1,0.0,1542.5,1736.97,0.1%,164.0,6388.779999999655,362.59826580480467
BINANCE:ETHUSDT.P,[CP] Keltner Channels Strategy,1m,2023-09-25 00:22:00,2023-10-12 14:36:00,17.593055555555555,0.017593055555555567,0.017216545751571465,400,65%,110.88999999999879,0.277224999999997,685.6879999999969,-574.7980000000043,1.2,-0.03%,99.89%,0.3,0.1,1546.53,1731.5,0.1%,22.7,1108.8999999999878,63.03055182758279
BINANCE:ETHUSDT.P,[CP] Momentum Strategy,1m,2023-09-25 00:18:00,2023-10-12 14:21:00,17.585416666666667,0.003678957461645757,0.00337673629909384,1912,60%,669.3503999999641,0.35007866108784735,1693.7715999999846,-1024.4212000000257,1.7,100.25%,99.47%,0.1,0.0,1543.34,1736.05,0.1%,108.7,6693.503999999641,380.62811515221273
BINANCE:ETHUSDT.P,Strategy v16,1m,2023-09-27 10:08:00,2023-09-30 15:46:00,3.234722222222222,1.293888888888889,,1,100%,-80.0008,-80.0008,0.0,-80.0008,-100.0,-80.00%,-80.00%,1.9,5.0,1613.01,1613.01,0.0%,0.3,-800.008,-247.3189179905539
