ticker,strategy,timeframe,entry_time,exit_time,TimeInDays,AvgTimeInMarketHours,StdTimeInMarket,NoOfTrades,RatioNegative,TotalProfit%,AvgProfitPerTrade%,ProfitPositive%,ProfitNegative%,ratio,MinCumulative%,MaxCumulative%,runup%,drawdown%,MinPrice,MaxPrice,var,TradesPerDay,AdjustedProfit%,APPD
BINANCE:1000FLOKIUSDT.P,Strategy v2.1,1s,2023-07-05 00:22:00,2023-07-26 00:34:02,21.00835648148148,0.08113733380816714,0.0878054060539076,390,99%,-0.28371000000000024,-0.0007274615384615391,0.0046800000000000105,-0.2883900000000002,0.0,-0.00%,-0.28%,0.9,1.1,0.02181,0.02692,0.2%,18.6,-2.837100000000002,-0.13504626135323144
BINANCE:1000LUNCUSDT.P,Strategy v2.1,1s,2023-07-06 00:11:00,2023-07-26 03:10:17,20.124502314814816,0.06166993277524093,0.08620790332803896,438,92%,-0.2776199999999997,-0.0006338356164383555,0.02118999999999999,-0.29880999999999985,0.1,-0.00%,-0.28%,0.6,1.1,0.08106000000000001,0.09263,0.1%,21.8,-2.776199999999997,-0.1379512375794891
BINANCE:1INCHUSDT.P,Strategy v2.1,1s,2023-07-05 00:17:00,2023-07-26 08:53:58,21.35900462962963,0.049969411375661466,0.07957326427831178,420,33%,0.18850000000000083,0.0004488095238095258,0.6122999999999985,-0.42380000000000256,1.4,-0.00%,0.23%,0.7,1.0,0.2959,0.4441,0.5%,19.7,1.8850000000000082,0.08825317624516543
BINANCE:AAVEUSDT.P,Strategy v2.1,1s,2023-07-06 00:07:00,2023-07-26 02:59:03,20.119479166666668,0.05899846431797655,0.08737729196571507,410,19%,81.84200000000035,0.19961463414634234,155.0635999999999,-73.22159999999997,2.1,-0.14%,9.89%,0.7,1.0,69.24,80.48,0.2%,20.4,818.4200000000035,40.67799137444554
BINANCE:ADAUSDT.P,Strategy v1,1m,2023-07-13 15:48:00,2023-07-24 10:02:00,10.759722222222223,4.288333333333333,0.02527777777777778,3,33%,0.04309999999999993,0.014366666666666644,0.04469999999999995,-0.0016000000000000228,27.9,-0.00%,0.04%,6.6,18.8,0.3049,0.35100000000000003,0.2%,0.3,0.4309999999999993,0.040056796179166056
BINANCE:ADAUSDT.P,Strategy v16,1m,2023-07-13 22:34:00,2023-08-01 23:32:00,19.040277777777778,1.8857407407407407,1.006932615511619,6,0%,0.14179999999999995,0.023633333333333326,0.14179999999999995,0.0,100.0,0.04%,0.14%,8.0,4.9,0.301,0.3551,0.2%,0.3,1.4179999999999995,0.07447370340652124
BINANCE:ADAUSDT.P,Strategy v19,1m,2023-07-10 14:36:00,2023-08-03 23:37:00,24.375694444444445,0.17767025089605737,0.2153402627153203,62,66%,-0.24679999999999958,-0.003980645161290316,0.09230000000000006,-0.3391000000000002,0.3,-0.00%,0.04%,1.2,2.6,0.2864,0.3479,0.2%,2.5,-2.4679999999999955,-0.10124839748155305
BINANCE:ADAUSDT.P,Strategy v2.1,1m,2023-07-10 09:22:00,2023-08-04 03:14:00,24.744444444444444,0.21188405797101448,0.16900332644608482,230,53%,-0.5972000000000025,-0.0025965217391304457,0.27590000000000026,-0.8730999999999989,0.3,-0.00%,-0.60%,0.9,2.5,0.285,0.3542,0.2%,9.3,-5.972000000000025,-0.241347103726988
BINANCE:ADAUSDT.P,Strategy v2.1,1s,2023-07-06 00:11:00,2023-07-26 13:11:26,20.54196759259259,0.050054398148148126,0.09296402444676424,348,45%,0.04660000000000001,0.00013390804597701152,0.34479999999999744,-0.29820000000000063,1.2,-0.00%,0.13%,0.6,0.7,0.2777,0.3716,0.3%,16.9,0.4660000000000001,0.022685266048615475
BINANCE:ADAUSDT.P,Strategy v9.1,1m,2023-07-12 13:42:00,2023-08-02 19:47:00,21.25347222222222,0.5624479166666667,0.3991015787387329,16,44%,0.03419999999999987,0.002137499999999992,0.07159999999999987,-0.03739999999999999,1.9,0.01%,0.04%,2.6,3.8,0.2911,0.3406,0.2%,0.8,0.3419999999999987,0.01609148831890208
BINANCE:ADAUSDT.P,[CP] ChannelBreakOutStrategy,1m,2023-07-10 00:00:00,2023-08-04 09:01:00,25.375694444444445,0.0028138398872963473,0.0021384662464705322,3628,92%,-3.284700000000008,-0.0009053748621830231,0.3224999999999989,-3.607200000000013,0.1,-0.00%,0.00%,0.2,0.1,0.2787,0.3670000000000001,0.3%,143.0,-32.84700000000008,-1.294427629238393
BINANCE:ADAUSDT.P,[CP] Keltner Channels Strategy,1m,2023-07-10 01:56:00,2023-08-04 08:08:00,25.258333333333333,0.02923169556840074,0.02249959760664935,346,84%,-0.3096000000000005,-0.0008947976878612731,0.2030000000000002,-0.5126000000000035,0.4,-0.00%,-0.31%,0.8,0.4,0.2795,0.36200000000000004,0.3%,13.7,-3.096000000000005,-0.12257340811613349
BINANCE:ADAUSDT.P,[CP] Momentum Strategy,1m,2023-07-10 00:15:00,2023-08-04 09:02:00,25.365972222222222,0.005140081971815165,0.004387665672321913,1979,88%,-1.7409000000000092,-0.0008796867104598329,0.3274999999999981,-2.068400000000007,0.2,-0.00%,-1.74%,0.3,0.2,0.2796,0.3664,0.3%,78.0,-17.40900000000009,-0.686313138226521
BINANCE:AGIXUSDT.P,Strategy Mix v1.2,1m,2023-07-18 16:44:00,2023-07-19 16:07:00,0.9743055555555555,0.3897222222222222,,1,0%,0.009599999999999992,0.009599999999999992,0.009599999999999992,0.0,100.0,0.01%,0.01%,4.5,1.5,0.2333,0.2333,0.0%,0.0,0.09599999999999992,0.09853171774768345
